file_name,Pitch (Hz),Input delay (ms),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Roll-off (Hz),RMS Energy,Spectral Flatness,MFCCs_1,MFCCs_2,MFCCs_3,MFCCs_4,MFCCs_5,MFCCs_6,MFCCs_7,MFCCs_8,MFCCs_9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,Spectral Contrast (dB)_1,Spectral Contrast (dB)_2,Spectral Contrast (dB)_3,Spectral Contrast (dB)_4,Spectral Contrast (dB)_5,Spectral Contrast (dB)_6,Spectral Contrast (dB)_7
B2_001.wav,121.60447,12.00000000000001,1339.2195904991154,3602.1979891497335,1352.380562827225,0.15778437,3.6107896e-05,-308.0594,133.35995,16.834864,31.55395,18.36742,20.28808,11.815836,11.103789,6.4701023,6.606071,3.920956,3.815764,2.059822,27.13041371606624,19.617669007826574,20.280169977884203,22.947823127767023,24.58567496073794,23.55405979587422,22.753100799513874
B2_002.wav,122.678505,12.00000000000001,1335.3329872839668,3589.258141376216,1350.0490837696334,0.15770572,3.405463e-05,-308.1543,133.31627,16.678371,31.577988,18.243256,20.25624,11.741824,11.072514,6.396362,6.595429,3.858822,3.8117445,1.9861851,27.35494207270469,19.4753480850953,20.216931285557777,23.1140766515604,24.98131709658569,23.465287579595415,22.805802623464498
B2_003.wav,121.60883,12.00000000000001,1334.3576687330954,3590.479439874749,1346.613219895288,0.15762292,3.2800577e-05,-308.246,133.21745,16.76417,31.595621,18.276651,20.234776,11.805864,11.079548,6.4130616,6.631992,3.9084125,3.864564,2.0390618,27.150073613445354,19.600608800455515,20.37598583285341,23.19903769303089,24.916683935603743,23.647997316642694,22.81689542668184
B2_004.wav,122.733826,12.00000000000001,1336.2615377312372,3591.2965571163354,1348.0857329842931,0.15756957,3.3565902e-05,-308.26224,133.20888,16.713913,31.519394,18.256485,20.218472,11.747484,11.069851,6.369046,6.612119,3.8647845,3.7941961,2.0007322,26.90917414632498,19.598219768122572,20.218745982759494,23.067159912826874,24.821669816837552,23.4279742753364,22.744313893617086
B2_005.wav,121.60682,12.00000000000001,1348.5519300643773,3625.2090154544385,1352.7486910994764,0.15749028,3.646489e-05,-308.03247,133.15271,16.896288,31.44064,18.45934,20.126444,11.901227,10.970854,6.564512,6.4415445,4.0064206,3.6557882,2.1142716,27.2660172015231,19.588840185880063,20.39970285433123,23.089687370656748,25.02867730573934,23.540778066461097,22.758998186491112
B2_006.wav,122.7338,12.00000000000001,1340.9271401101946,3602.518237504968,1350.6626308900525,0.15746449,3.4448836e-05,-308.12534,133.19235,16.675247,31.487396,18.290901,20.204557,11.77945,11.024462,6.4384446,6.5373836,3.9071314,3.7677782,2.0160625,27.273096718240257,19.443251378805726,20.22833600253704,23.05981415511347,24.86503968076561,23.42068649443184,22.688745332735603
B2_007.wav,121.60774,12.00000000000001,1339.0682104474663,3599.330285884308,1348.9446989528797,0.1573789,3.319299e-05,-308.1558,133.13943,16.752522,31.534758,18.327227,20.231153,11.84702,11.069566,6.4639173,6.565653,3.8913069,3.7915227,2.0220923,27.043957694066435,19.537317807921237,20.249218793536148,23.251406871856997,24.846912822755495,23.40667663469481,22.76035867072274
B2_008.wav,122.63441,12.00000000000001,1340.317739125538,3601.6361199684875,1349.9263743455497,0.15735905,3.366519e-05,-308.1906,133.10559,16.72603,31.483381,18.301884,20.179287,11.825989,11.012243,6.4367633,6.5529895,3.8877244,3.7697322,2.0250452,27.06056433810082,19.50659603015658,20.23322533167569,23.144772882740238,25.12988433299232,23.39167231350854,22.73142939832627
B2_009.wav,121.60565,12.00000000000001,1342.9197607902256,3604.3819373010824,1352.380562827225,0.1572992,3.5871963e-05,-308.05807,133.19499,16.74507,31.541916,18.315147,20.260551,11.768573,11.095519,6.424232,6.5823708,3.8492544,3.7965312,1.9767879,27.322316077218996,19.496687001798858,20.434898098164695,22.954172134557695,25.074167595001544,23.592011170009616,22.656706103278395
B2_010.wav,121.56796,12.00000000000001,1347.8888865748777,3620.322832625816,1352.7486910994764,0.15729004,3.5930447e-05,-307.9883,133.08876,16.743011,31.448362,18.386427,20.144524,11.872385,10.980026,6.5204453,6.5167685,3.9718907,3.7345364,2.0645304,27.174162866379312,19.476708700084778,20.246516449647494,23.1115318535518,24.803913772628945,23.57474258720677,22.779084644403333
B2_011.wav,121.601746,12.00000000000001,1341.4579605670447,3601.175965913998,1351.8897251308902,0.15724272,3.3864348e-05,-307.99316,133.1261,16.685408,31.540121,18.300888,20.230448,11.812045,11.072502,6.416211,6.596888,3.8893788,3.7914639,2.0307167,27.049601734006764,19.570363436503694,20.219055331237556,23.053171237160974,24.441591085402965,23.553685831342687,22.759130568253962
B2_012.wav,121.57843,12.00000000000001,1337.7838362349924,3591.88913832168,1348.2084424083769,0.15724517,3.327954e-05,-308.07904,133.12225,16.652302,31.576212,18.20964,20.246862,11.753363,11.074166,6.3669,6.640304,3.8710146,3.8333268,2.01887,26.943168717815336,19.570474116342485,20.289110282660733,23.22704307683837,24.439278843521368,23.639510964777624,22.72131394309487
B2_013.wav,121.604095,12.00000000000001,1343.6605454091755,3605.4559822993533,1351.398887434555,0.15720172,3.516315e-05,-308.01297,133.13768,16.688108,31.550945,18.289265,20.253649,11.765452,11.060304,6.420931,6.57681,3.893255,3.8339486,2.0190847,27.385526777369492,19.486752605710187,20.3264363743702,23.32284300246507,24.736017826333224,23.391868073427407,22.754851612655482
B2_014.wav,121.58011,12.00000000000001,1342.9063332997614,3602.7143571126994,1353.9757853403141,0.15718365,3.5686542e-05,-308.01166,133.17372,16.61806,31.53665,18.269545,20.25589,11.774598,11.100895,6.3961825,6.6255093,3.8618453,3.8260622,1.9979333,26.9962681759712,19.512640595617146,20.33732412595045,22.97278988912553,24.725847034773587,23.467322763615424,22.75328337651214
B2_015.wav,121.59705,12.00000000000001,1344.6113142776865,3607.785162651383,1354.2212041884816,0.15714554,3.4088127e-05,-307.91803,133.07988,16.672276,31.499641,18.333256,20.199753,11.844152,11.023504,6.455037,6.563523,3.9116905,3.7536707,2.060668,27.17372755806975,19.541727729969253,20.23306187819405,23.082376332374476,25.13888854090741,23.656538295169337,22.667199642274696
B2_016.wav,121.58572,12.00000000000001,1340.366535062296,3598.7275467915715,1350.1717931937173,0.15711921,3.341148e-05,-308.0526,133.07104,16.658403,31.570845,18.264109,20.200304,11.789106,11.037319,6.4201403,6.584065,3.9210367,3.8056142,2.0466142,27.219581499790976,19.425326049293755,20.339213762315353,23.21158197979203,24.79954603569934,23.46299103187387,22.757836148523737
B2_017.wav,122.09573,12.00000000000001,1342.0493239242912,3599.175035424027,1354.2212041884816,0.15710497,3.4394812e-05,-307.99985,133.13676,16.589663,31.572163,18.22985,20.281284,11.7514715,11.073282,6.3857584,6.623681,3.854629,3.8386889,2.0032885,27.331791444068365,19.48886667853865,20.355668063012285,23.01586433050667,24.725844811133555,23.39337755070818,22.610671489477653
B2_018.wav,121.5924,12.00000000000001,1346.5725864420544,3610.6855858979097,1357.779777486911,0.15708989,3.6496072e-05,-307.8957,133.12306,16.606968,31.527231,18.298803,20.25361,11.768127,11.075591,6.416772,6.582499,3.906252,3.8057287,2.0145094,26.98710141865424,19.552345267609198,20.28883495067026,23.027980869022453,24.918013390978043,23.48775803691278,22.705997640986944
B2_019.wav,121.596245,12.00000000000001,1344.8329937548042,3605.8895161658756,1356.184554973822,0.15707012,3.423647e-05,-307.86264,133.05821,16.618387,31.523544,18.314379,20.234034,11.790806,11.02108,6.4366307,6.5692706,3.8869874,3.8105278,2.0323713,27.349966271544133,19.491884344515288,20.207440089260764,23.321566989138677,24.62947424136525,23.58877335850164,22.748034904045348
B2_020.wav,121.5942,12.00000000000001,1340.4581246631287,3596.460808159358,1352.8714005235602,0.15705611,3.3448636e-05,-307.9874,133.05666,16.58511,31.592825,18.218012,20.258707,11.773399,11.072109,6.38669,6.6171675,3.897411,3.8441067,2.0116875,27.403609778580176,19.461437001910323,20.282438723960144,23.260017611664832,24.999406030027664,23.25286452341341,22.69934542251375
B2_021.wav,122.15039,12.00000000000001,1341.7930024340662,3597.9530691992873,1354.2212041884816,0.15705614,3.4138026e-05,-307.9829,133.12257,16.575031,31.56976,18.213482,20.299746,11.736581,11.075556,6.3809342,6.62176,3.8521018,3.8535566,2.0012016,26.985433697694983,19.50475232226958,20.391545914867265,23.087166182359578,24.88423219735052,23.335419284188752,22.75898574204312
B2_022.wav,121.59335,12.00000000000001,1346.1471608137037,3607.9189596820893,1358.3933246073298,0.15703256,3.64783e-05,-307.88547,133.12662,16.585278,31.55202,18.280012,20.273762,11.732426,11.094943,6.3877416,6.6263204,3.8789163,3.8145566,2.0020435,26.94746018980527,19.54109528221441,20.227491027675722,23.088165103696394,24.739691088166627,23.212320676423715,22.72551586389022
B2_023.wav,122.385826,12.00000000000001,1345.3964332365804,3605.580180135964,1358.1479057591623,0.1570119,3.446819e-05,-307.84552,133.04825,16.57549,31.555914,18.255249,20.257318,11.76322,11.038289,6.4090667,6.5624413,3.9039617,3.7705934,2.0274506,27.23217450458911,19.48015982495573,20.27118213539903,22.96332748799296,24.935811622687904,23.519441097667972,22.671037070449223
