file_name,Pitch (Hz),Input delay (ms),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Roll-off (Hz),RMS Energy,Spectral Flatness,MFCCs_1,MFCCs_2,MFCCs_3,MFCCs_4,MFCCs_5,MFCCs_6,MFCCs_7,MFCCs_8,MFCCs_9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,Spectral Contrast (dB)_1,Spectral Contrast (dB)_2,Spectral Contrast (dB)_3,Spectral Contrast (dB)_4,Spectral Contrast (dB)_5,Spectral Contrast (dB)_6,Spectral Contrast (dB)_7
B2_001.wav,122.2294,0,1351.2019192153618,3617.21660895473,1386.3031914893618,0.16010633,4.466801e-05,-303.58432,133.70053,16.250196,31.564585,18.232538,20.252487,11.74111,11.04141,6.406265,6.5883236,3.913111,3.8424587,2.0583582,26.883241796580876,19.73790544533493,20.511499261328748,23.500248178690185,24.82566086649304,23.81629011633375,22.955254020652255
B2_002.wav,122.221146,0,1354.7439440265334,3618.7667670948417,1398.686835106383,0.16010924,5.03946e-05,-303.3136,133.61125,16.17122,31.543318,18.11492,20.18993,11.65815,10.990873,6.3600073,6.6078486,3.8744354,3.821073,2.0070558,27.481529896797742,19.747834118465903,20.405837745420616,23.557830997654225,25.170173450705533,23.745191671068703,22.98830499585955
B2_003.wav,122.21496,0,1352.9919421056422,3619.777221977732,1387.965425531915,0.1600036,4.242376e-05,-303.51846,133.62537,16.215641,31.541458,18.172411,20.218538,11.712754,11.006557,6.3573203,6.576273,3.8681533,3.832404,2.0141022,27.405026054196686,19.70732275129074,20.459421604411997,23.48759908825948,25.250209997943596,23.957793997421277,22.97865459746441
B2_004.wav,122.22228,0,1355.9263810276593,3622.3077897030807,1396.9414893617022,0.15997261,4.6001438e-05,-303.32697,133.56438,16.146845,31.511583,18.15609,20.212456,11.705989,11.013674,6.325038,6.5567837,3.8651018,3.8032491,2.0130057,27.429417926361896,19.75513535267462,20.451697966588192,23.531462161941135,25.08678621227694,23.785118268497843,22.95920811212805
B2_005.wav,122.211876,0,1360.368771219217,3637.491949289981,1392.5365691489362,0.15986782,4.27728e-05,-303.35287,133.47559,16.251974,31.441885,18.251736,20.14195,11.80642,10.945699,6.4492283,6.483539,3.94799,3.737836,2.0927894,27.38529349938247,19.736153759152764,20.501051775360565,23.534997608485885,25.130450882026366,23.904307841954775,22.93356673308236
B2_006.wav,122.21595,0,1359.330509294885,3629.273656708559,1401.5126329787233,0.15986075,4.5810048e-05,-303.24542,133.51164,16.160511,31.480198,18.186623,20.200228,11.747205,10.988513,6.3556633,6.499648,3.8430445,3.7633004,2.018701,27.447350447960776,19.771351643380978,20.434576666554374,23.41541963760457,25.339364308043393,23.71252242937527,22.852816462735476
B2_007.wav,122.21648,0,1358.477904575919,3629.520421591772,1395.6948138297873,0.15975814,4.2914315e-05,-303.3557,133.51163,16.167824,31.488384,18.193579,20.20259,11.757861,11.006683,6.399794,6.5260797,3.869596,3.7763858,1.9960933,27.456098239102502,19.70360214072187,20.450490606957448,23.649385798299132,24.982253788152104,23.633040835981948,22.87381308248135
B2_008.wav,122.21819,0,1360.660069045904,3632.3221923696265,1402.6761968085107,0.15975598,4.402993e-05,-303.23233,133.46463,16.146198,31.465418,18.184824,20.166157,11.746932,10.964852,6.37485,6.5339894,3.8737378,3.7887802,2.018707,27.136495268501164,19.700769574012547,20.416392434264758,23.569926719060735,25.19441038223581,23.72284192464119,22.91774244873824
B2_009.wav,122.20803,0,1356.514049572316,3622.5433093067904,1393.783244680851,0.1596855,4.3278407e-05,-303.356,133.51553,16.12246,31.52232,18.158567,20.225122,11.70642,11.054241,6.366167,6.5834055,3.8412206,3.8129246,1.9775525,27.564555936724297,19.690015837943317,20.53042427972565,23.26835317715914,25.271746633925975,23.860110415608514,22.886266341161384
B2_010.wav,122.212616,0,1362.4438532117244,3637.022864901761,1399.434840425532,0.15967537,4.520425e-05,-303.2111,133.43481,16.18666,31.454655,18.198221,20.098185,11.739139,10.947705,6.436985,6.521278,3.9090352,3.7765949,2.0402074,27.70698512796581,19.724552766087754,20.396356542422392,23.5494917478634,25.12728747626665,23.888808998469216,23.011331506960683
B2_011.wav,122.22653,0,1361.2969933841455,3629.983151540099,1403.5073138297873,0.15961722,5.1912906e-05,-303.18954,133.43683,16.087713,31.492838,18.131535,20.202063,11.705301,11.005912,6.3418937,6.593478,3.8838267,3.832297,2.041355,27.35620956227527,19.769774492066418,20.464022420920887,23.509271656334565,24.869874187074714,23.906905004668925,22.95735684103991
B2_012.wav,122.21789,0,1358.733809789816,3624.9207869404663,1397.5232712765958,0.1596328,4.567127e-05,-303.2608,133.46535,16.068222,31.49287,18.10243,20.221386,11.684697,11.02786,6.3311596,6.603113,3.8720756,3.8321629,2.022865,27.498567268288678,19.749125127552922,20.491121055972613,23.620651833556224,24.899634511669344,23.913403218629444,22.872743868061782
B2_013.wav,122.22325,0,1360.073113403148,3626.5277401530616,1401.346409574468,0.15958251,5.2868054e-05,-303.23032,133.46996,16.07646,31.502846,18.126657,20.213253,11.690941,11.004497,6.351906,6.558222,3.8764925,3.8514526,2.012275,27.52277409230745,19.736856198273138,20.53102394408607,23.608820414991207,25.01946581167292,23.764434178667237,22.95158590557532
B2_014.wav,122.216866,0,1358.3678356737637,3624.9667045550045,1395.3623670212767,0.15956211,4.5393714e-05,-303.29645,133.49155,16.089645,31.493912,18.095776,20.190813,11.731851,11.01237,6.313114,6.600471,3.8835554,3.8175516,2.038669,27.416127558861064,19.694778829254695,20.476665338811188,23.456439900554585,24.940952521865004,23.760957182008948,22.977413776220317
B2_015.wav,122.22446,0,1363.4551787006435,3634.056076002086,1404.9202127659576,0.15952158,5.4122767e-05,-303.13995,133.39265,16.064034,31.469845,18.162287,20.1788,11.73053,10.979088,6.366988,6.558612,3.9001927,3.8025262,2.0648909,27.366508491152207,19.730953030797654,20.51199228859414,23.615338992940426,25.184911830287795,23.896452049261487,22.872428998165763
B2_016.wav,122.21457,0,1360.3536940340248,3627.966600332331,1399.684175531915,0.15950193,4.8771497e-05,-303.28708,133.44673,16.062847,31.498165,18.133272,20.201006,11.709577,10.992173,6.3700204,6.5493493,3.8808274,3.8141844,2.0257845,27.46555192106278,19.76200029041213,20.481346175210064,23.60325319694269,25.019867436910893,23.805344816946434,22.9858273937808
B2_017.wav,122.224846,0,1361.7190993262186,3626.822900656115,1406.6655585106382,0.15948935,5.7859004e-05,-303.15543,133.46695,15.98843,31.515833,18.099184,20.210524,11.691788,11.003461,6.3270335,6.5886817,3.8566363,3.82538,2.019642,27.552088040345307,19.71789086194328,20.49217803811411,23.50824029168986,25.044016093074262,23.77532392872094,22.865024359640003
B2_018.wav,122.218445,0,1361.7332567988701,3628.288331121001,1404.6708776595744,0.15946262,5.398866e-05,-303.1679,133.43608,16.012594,31.480684,18.13393,20.211952,11.689125,11.008905,6.335141,6.5727177,3.882403,3.8324463,2.0245512,27.3479499275476,19.69755985285469,20.47248806648642,23.620858497886086,25.225313735775234,23.73303580902908,22.95253317823522
B2_019.wav,122.226074,0,1366.0541170705244,3633.209799556097,1417.220744680851,0.15945104,6.819363e-05,-303.02963,133.33736,16.024832,31.484888,18.117828,20.215977,11.6902,10.991176,6.3533554,6.5584326,3.873317,3.833356,2.0362616,27.553231854972026,19.71482058807279,20.466022514816622,23.702435044604517,24.941557244834968,23.887577352308117,22.960118621215972
B2_020.wav,122.21792,0,1359.2973733307576,3624.1308072417487,1399.0192819148936,0.15943058,4.8139555e-05,-303.321,133.487,16.00784,31.528833,18.10297,20.235853,11.6827545,11.015464,6.3308306,6.589001,3.8657875,3.833893,1.9975344,27.561214955916743,19.782169241784853,20.472067361513947,23.667261024743993,25.2783694707215,23.5287983720521,22.875519825700387
B2_021.wav,122.22721,0,1361.7494998565712,3626.02330427625,1408.2446808510638,0.15943721,5.7051606e-05,-303.12814,133.45393,15.966757,31.516636,18.075182,20.234602,11.670669,10.995573,6.3297195,6.5853634,3.8456807,3.8487713,2.0150805,27.41581788688129,19.698569244704217,20.500066207024492,23.64798544917978,25.005329968802684,23.633771176495447,22.950144707856293
B2_022.wav,122.21459,0,1360.89909932741,3626.0082015003354,1403.091755319149,0.15940362,5.1648374e-05,-303.18314,133.44487,15.99572,31.509624,18.110176,20.230558,11.67044,11.028584,6.3284283,6.579923,3.8804784,3.8153133,2.0214744,27.475753637335604,19.667928279016834,20.448658907051538,23.489179565640846,25.23609746093324,23.545363971435265,22.95041156514442
