file_name,Pitch (Hz),Cutoff freq (MIDI),Cutoff freq (CV),Resonance (MIDI),Resonance (CV),Input delay (ms),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Roll-off (Hz),RMS Energy,Spectral Flatness,MFCCs_1,MFCCs_2,MFCCs_3,MFCCs_4,MFCCs_5,MFCCs_6,MFCCs_7,MFCCs_8,MFCCs_9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,Spectral Contrast (dB)_1,Spectral Contrast (dB)_2,Spectral Contrast (dB)_3,Spectral Contrast (dB)_4,Spectral Contrast (dB)_5,Spectral Contrast (dB)_6,Spectral Contrast (dB)_7
B2_r015_c015.wav,0.4600971,15,1.1811,15,1.1811,44.00000000000004,497.2748521922503,2504.2658146258145,141.845703125,0.04587577,1.4799402e-05,-645.2398,65.51788,59.23181,54.20979,50.824493,46.59023,41.79125,38.11203,33.101757,29.86857,25.149857,22.181412,18.459528,20.99171179859537,16.81264989939543,10.14479649373317,11.767306532698145,13.221949658749857,13.05413681984092,14.929144099930236
B2_r015_c031.wav,34.705906,31,2.4409,15,1.1811,44.00000000000004,237.9704431347276,1473.5845140876634,160.64453125,0.12549305,1.0483419e-05,-562.76447,94.98303,86.27295,76.4519,65.41784,53.545055,42.225853,32.219807,24.039347,17.805315,13.174024,10.172528,8.613925,17.09244675251034,14.7909917920841,14.985434422215874,12.261284652356913,13.640451888436843,12.783596368035944,14.893914877724837
B2_r015_c047.wav,129.83072,47,3.7008,15,1.1811,44.00000000000004,208.96827291651644,1131.0543989620817,224.4873046875,0.17752554,9.274658e-06,-492.63464,149.71904,120.62207,84.896935,52.30576,28.801865,16.2608,12.5495405,12.701007,12.5723,10.630262,7.5119596,4.9759135,16.520698613815508,11.871979314468158,14.98611765761225,17.55512830037217,13.70320574230604,13.028466981860909,14.965260579374108
B2_r015_c063.wav,118.292435,63,4.9606,15,1.1811,44.00000000000004,247.47119315448555,1008.6569527479002,329.8519736842105,0.20098126,2.7094932e-06,-417.3467,217.6753,125.92028,43.940094,8.441612,10.192343,18.116796,15.082479,6.8119874,3.6702135,5.803794,6.998768,4.953134,16.816509527725636,8.643300227199529,11.843559704480848,15.41105093343653,18.603822172822372,13.006911900750008,16.44758569903578
B2_r015_c079.wav,116.74568,79,6.2205,15,1.1811,44.00000000000004,357.7006899825891,962.7015534395554,600.9080497382199,0.21017696,1.7959127e-06,-336.841,263.89786,74.93611,-8.19364,10.971582,24.109339,8.936242,4.5095696,10.359526,7.3530893,3.0554218,5.3988643,5.834366,16.713843748345482,7.455222800802484,8.575216890451623,11.364682127903924,15.41323541448314,17.925375674234342,16.354732779287716
B2_r015_c095.wav,122.13947,95,7.4803,15,1.1811,44.00000000000004,605.5879053604617,1178.7336981951255,1169.3115234375,0.21321411,1.6359169e-05,-263.70657,266.49463,3.6796114,-1.1827434,33.068497,6.003725,9.334149,12.816582,3.499751,7.8392186,6.0948806,3.2621555,6.077699,16.336739828994816,7.166658288620108,7.38449758049893,8.668582309618161,11.587037271805755,14.829926382292129,19.745438716693286
B2_r015_c111.wav,117.768005,111,8.7402,15,1.1811,44.00000000000004,1016.3484640159628,1801.8680259194025,2049.560546875,0.21495612,4.5452693e-05,-198.96753,234.26233,-32.860744,38.68672,12.194916,9.650333,14.577365,4.212812,10.995674,3.3539236,7.4576325,3.8754032,4.8546615,16.65955764003898,7.178106947561024,7.19857620209815,7.844829796621564,9.070788600676536,11.030361295643859,25.715346824857704
B2_r015_c127.wav,118.69228,127,10.0,15,1.1811,44.00000000000004,1358.8957178153596,2411.800205039236,2770.5333769633507,0.21512951,0.00017605835,-170.09232,207.49213,-30.36682,48.413692,0.2989091,20.481731,5.7693563,11.179038,5.9745255,6.935289,5.484888,4.804812,5.0104003,16.55728473372877,7.149612812508174,7.167043675366272,7.715570616346542,8.455771871432624,9.526643830372462,23.826575402183632
B2_r031_c015.wav,1.5504588,15,1.1811,31,2.4409,44.00000000000004,540.633232483001,2571.831153862639,249.9190414507772,0.047844343,0.00015875118,-642.17706,64.80564,58.315132,53.786137,50.606804,46.644115,42.064007,38.200798,33.465378,29.954752,25.385706,22.202932,18.254438,21.027478032184334,16.525380918872198,10.099899437187295,11.158193681595389,13.454555566771319,12.859183606607717,16.502974464055434
B2_r031_c031.wav,39.69426,31,2.4409,31,2.4409,44.00000000000004,243.35837614550823,1516.9256777560083,160.2783203125,0.1243217,1.0954027e-05,-565.06696,96.38226,86.87884,76.71897,65.79047,53.782608,42.07326,32.064953,23.807562,17.498592,13.137937,10.18307,8.709815,17.12826716626977,14.758254631606938,14.904725093722346,11.929307882598055,13.317471034058443,12.819502353130085,16.376269841376356
